"Fawaz","R","Hussain","100089312","1971-06-02","Fawaz123@gmail.com","srfawat","121 mg road,Chikmagalur ,Karnataka","M","PESB1089"
"Suraj",NULL,"MM","100089313","2000-06-21","Surajmm@gmail.com","Surajpes","109 Yelhanka,bangalore,Karnataka","M","PESB2022"
"Nida",NULL,"Rais","100089391","2001-07-21","Nidarais@gmail.com","nidapes","1012 Yelhanka,bangalore,Karnataka","F","PESB2022"
"Srushti","D","Rao","100089399","1971-12-23","Srushtirao@gmail.com","srussshh","190 Race Course road,Delhi,New Delhi","F","PESB0001"
"Chandana","A","Y","100090062","1999-08-24","ChandanaAY@gmail.com","Chandu1223","167 Hemavathinagar, Mysore,Karnataka","F","PESB2011"
"Abhay",NULL,"Rao","100150000","1981-03-27","abhay123@gmail.com","abhaaaaaay","12 iron man street, Mandya,Karnataka","M","PESB7865"
"Sherlock",NULL,"Holmes","100150002","1998-03-27","sherlock12@yahoo.com","sherlock12","112 Bakers streer ,London,UK","M","PESB0001"
"Iron",NULL,"man","100150005","1992-12-21","iamiron@gmail.com","kabana123"," 009 hoskerehalli,bangalore,Karnataka","F","PESB1088"
"Thor","D","anna","100150006","1971-04-12","thorannaba@gmail.com","brngmethanos","100 Race Course road,asgard,mars","M","PESB9731"
"Rakshitha","M","D","200001234","1999-03-31","RakshithaMD@gmail.com","rakshu123","111 Bus stand road,HN Pura ,Karnataka","F","PESB7865"
"Monica","H","D","200004321","1999-03-11","MOonika@gmail.com","Monikaemail","110 Hemavathinagar, Hassan,Karnataka","F","PESB1675"
"Vidya","D","Acharya","200009876","1999-10-29","VidyaD@gmail.com","vidyaD28","341 KR Puram, Hassan ,Karnataka","F","PESB1675"
"Preetham","K","Mandya","300001242","1999-07-22","PreethamK@gmail.com","Preetham777","112 Hemavathinagar, Mandya,Karnataka","M","PESB7865"
"Dharani","D","Daddanar","300005678","1999-03-01","Sanju@gmail.com","sanjugmail","198 KR Pete, Mandya ,Karnataka","F","PESB7865"
"Srihari","V","Torgal","400001234","1979-09-27","SVTorgal@gmail.com","svt1223","870 Kuvempunagar, Mysore,Karnataka","M","PESB2011"
"Srihari","V","Torgal","400001235","1979-09-27","SVTorgal@gmail.com","svt1223","870 Kuvempunagar, Mysore,Karnataka","M","PESB2011"
"Nithin","B","J","500008731","1999-11-14","NithinBJ@yahoo.com","Nithinckm","999 VV Puram, Chikmagalur,Karnataka","M","PESB1089"
"Pranamya","C","Kashyap","500008732","1999-12-14","Pranamya@gmail.com","Pranamya123","998 VV Puram, Chikmagalur,Karnataka","M","PESB1089"
"Kishor","H","G","700001111","1999-05-19","KishorHG@gmail.com","Kishorhg03","874 MG Road, Bengaluru ,Karnataka","M","PESB2022"
"Yathin","D","MM","700001133","1975-11-07","YathinDeep@gmail.com","YathinDeepMM","541 IG Road, Bengaluru ,Karnataka","M","PESB2022"
"Bindu","V","Acharya","800001122","1997-09-11","BinduV@gmail.com","Binduemail","001 VV Puram, Bellary ,Karnataka","F","PESB5642"
"Vignesh","B","S","900001256","1969-01-11","VigneshBS11@gmail.com","Viggu123","791 Jama Masjid Road, Old Delhi ,Delhi","M","PESB0001"
"Virat","K","Kohli","987651234","1989-10-05","ViratKolhi@gmail.com","Kohli18","518 Race Course Road, New Delhi,Delhi","M","PESB0001"
"1089","Vehicle","50000","7.5","2024-03-24","10001882"
"1092","Agriculture","25000","1.24","2025-11-12","10001209"
"1191","Home","1800000","8.5","2030-04-02","10002213"
"2190","Education","1500000","10.5","2026-08-14","10004441"
"2671","Home","170000","9.75","2026-11-17","10005444"
"4121","Education","180000","3.75","2024-04-17","10009172"
"5671","Agriculture","40000","1.75","2026-11-17","10005479"
"5676","Vehicle","90000","6.5","2024-01-21","10009181"
"8331","Agriculture","250000","2.5","2025-05-22","10003311"
"8341","Home","1200000","9.5","2030-10-21","10007789"
"9099","Vehicle","130000","7.75","2024-11-17","10002095"
"9321","Vehicle","800000","6.75","2021-10-19","10001191"
"9353","Agriculture","250000","2.5","2025-05-22","10009072"
"9421","Home","130000","8.75","2025-12-16","10007882"
"9622","Education","1800000","10.5","2028-10-22","10001789"
"Vaish","Shetty","22","Sister","F","100001234"
"Vishnu","Shetty","20","Brother","M","100004321"
"Jayamma","Alur","50","Mother","F","100005642"
"Pavithra","HS","29","Sister","F","300001242"
"Nischitha","MD","25","Sister","F","200001234"
"Adrith","Torgal","10","Son","M","400001234"
"Aarohi","Torgal","16","Daughter","F","400001235"
"Ratna","Ganesh","50","Mother","F","100008888"
"Ramya","Torgal","30","Wife","F","400001235"
"Ivy","Dsilva","50","Mother","F","100078021"
"Sujan","Dsilva","20","Brother","M","100078023"
"Ivy","Dsilva","50","Mother","F","100078023"
"Anish","Pandey","66","Father","M","100018978"
"Mowna","K","22","Sister","F","100067368"
"Vinu","Acharya","18","Brother","M","100082628"
"Vinesh","Gowda","60","Father","M","100067061"
"Manjunath","Das","25","Son","M","100013241"
"Nischal","V","25","Brother","M","100089313"
"yaksha","Baskar","32","Sister","F","100089391"
"shaia","pai","24","Son","M","100089399"
"mithun","Rao","57","Father","M","100045613"
"aishwarya","chetty","19","Sister","F","100150002"
"10001111","1000",NULL,"101122","2018-09-02","11:21:04"
"10001111","2000",NULL,"123439","2019-01-01","11:21:04"
"10001111",NULL,"200","234239","2019-05-01","04:20:04"
"10002211",NULL,"6541","1277907","2018-10-09","09:01:08"
"10003311",NULL,"1006","1896800","2018-01-15","08:02:41"
"10007882",NULL,"900","1896865","2018-11-05","07:12:44"
"10001999",NULL,"9","2322041","2019-04-23","05:58:53"
"10001288","9",NULL,"2904886","2019-04-23","05:58:53"
"10006523",NULL,"403","3374812","2019-01-22","06:20:19"
"10005444","10",NULL,"6377211","2019-12-09","12:00:00"
"10009142",NULL,"199","6775453","2015-12-02","03:02:07"
"10002095","1254",NULL,"7806621","2019-02-19","12:00:00"
"10001288","4",NULL,"8485185","2019-04-23","05:54:18"
"10008740","100",NULL,"8812361","2018-08-04","09:10:10"
"10007811","907",NULL,"8899221","2017-01-14","12:01:12"
"10002095",NULL,"500","8899861","2018-06-14","09:00:40"
"10008890",NULL,"4512","8899864","2018-06-14","01:00:40"
"10002233",NULL,"1000","9900071","2018-10-14","09:00:40"
"10002444","2000",NULL,"12977907","2019-03-11","02:12:14"
"10004537","1802",NULL,"15117987","2018-11-12","08:12:47"
"10001191","9082",NULL,"71117907","2017-05-02","04:12:03"
"10001882","500",NULL,"71277907","2019-01-11","12:12:14"
"10001999","1281",NULL,"78671324","2018-07-04","08:01:34"
"10001882",NULL,"500","78977907","2019-01-01","12:02:34"
"10002213",NULL,"1500","90977907","2018-11-10","07:09:43"
"10007789","802",NULL,"95117907","2018-05-02","05:12:03"
"10009181",NULL,"59","95382539","2015-01-05","10:00:07"
"10009174","8000",NULL,"95382572","2015-12-02","07:02:45"
"10009181","670",NULL,"95382578","2019-01-05","09:00:07"
"10001999",NULL,"1500","98777907","2017-06-01","10:02:34"
"10009632","2000",NULL,"99163237","2009-11-09","11:01:45"
"1300","10001111"
"637","10001211"
"1272","10001991"
"292","10002444"
"820","10002214"
"100","10001288"
"162","10001999"
"30","10002213"
"14","10004441"
"100","10007789"
"30","10005281"
"2700","10004537"
"194","10002233"
"178","10004782"
"978","10002459"
"125","10052617"
"189","10052666"
"1120","10004782"
"1271","10007811"
"92","10005422"
"110","10001789"
"11","10008740"
"22","10004431"
"7","10003241"
"567","10001209"
"56","10005444"
"100","10005441"
"520","10009142"
"299","10009174"
"130","10009181"
"290","10008128"
